(dollar sign)	[(dollar sign), $]
semi-finals	[semi-finals, demifinale]
semifinal	[semifinal, demifinale]
semi-final	[semi-final, demifinales]
semi finals	[semi finals, demifinales]
employment	[employment, demploi, emploi, emploi, lemploi, lemploi, âgé, âgé]
demploi	[demploi, demploi]
of employement	[of employement, demploi]
den	[den, den]
childhood	[childhood, denfance, enfance, enfance, lenfance, lenfance]
of kids	[of kids, denfants]
childrens	[childrens, denfants]
of children	[of children, denfants]
dennis	[dennis, denis, dennis, dennis]
denis	[denis, denis]
recording	[recording, denregistrement, enregistrement, enregistrement, lenregistrement, lenregistrement]
registration	[registration, denregistrement, dimmatriculation, dimmatriculation]
record	[record, denregistrer, enregistre, enregistre, enregistrent, enregistrent, enregistrer, enregistrer, record, record]
to record	[to record, denregistrer, enregistrer, enregistrer]
dense	[dense, dense]
teaching	[teaching, denseignement, enseignement, enseignement, lenseignement, lenseignement]
establishing shot	[establishing shot, densemble]
guided tour	[guided tour, densemble]
comprehensive	[comprehensive, densemble, exhaustive, exhaustive]
density	[density, densité]
of training (terrain d'entrainement=training ground)	[of training (terrain d'entrainement=training ground), dentraînement]
of training	[of training, dentraînement]
of (as = three millions of them had...)	[of (as = three millions of them had...), dentre]
of enterprise	[of enterprise, dentreprise]
enterprise	[enterprise, dentreprise]
diets	[diets, dentreprises]
to enter	[to enter, dentrer, dintégrer, dintégrer]
enter	[enter, dentrer, entrent, entrent, entrer, entrer, pénétrer, pénétrer]
dentrée	[dentrée, dentrée]
entrance	[entrance, dentrée, entrée, entrée, lentrée, lentrée]
opening	[opening, dentrée, douverture, douverture, louverture, louverture, ouverture, ouverture]
teeth	[teeth, dents]
of approx	[of approx, denviron]
of around	[of around, denviron]
depp	[depp, depp]
since	[since, depuis, puisque, puisque]
der	[der, der]
last	[last, dernier, derniers, derniers, dernière, dernière, dernières, dernières, dure, dure, durent, durent, durer, durer, duré, duré, last, last]
latter	[latter, derniers]
latest	[latest, dernières, récent, récent]
behind	[behind, derrière]
descartes	[descartes, descartes]
go down	[go down, descend]
went down	[went down, descend]
lineage	[lineage, descendance, lignée, lignée]
descent	[descent, descendance, descente, descente]
descendant	[descendant, descendant]
outgoing	[outgoing, descendants, sortant, sortant]
descendants	[descendants, descendants]
coming down	[coming down, descente]
description	[description, description]
of spain	[of spain, despagne]
spain	[spain, despagne, espagne, espagne]
of spirit	[of spirit, desprit]
spirit	[spirit, desprit, esprit, esprit, lesprit, lesprit, spirit, spirit]
species	[species, despèces, espèce, espèce, espèces, espèces, lespèce, lespèce]
of which	[of which, desquels, duquel, duquel]
drawing	[drawing, dessin, tirage, tirage]
drawer	[drawer, dessinateur]
cartoonist	[cartoonist, dessinateur]
draftsman	[draftsman, dessinateur]
emerges	[emerges, dessine]
draws	[draws, dessine, tire, tire]
draw	[draw, dessiner, tirage, tirage, tire, tire]
loom	[loom, dessiner]
drawings	[drawings, dessins]
comic book	[comic book, dessinées]
underneath	[underneath, dessous]
beneath	[beneath, dessous]
under	[under, dessous, relevant, relevant, sous, sous]
on	[on, dessus, on, on, relatifs, relatifs, relative, relative, sur, sur]
d'estaing	[d'estaing, destaing]
destiny	[destiny, destin, destinée, destinée]
fate	[fate, destin, sort, sort]
destination	[destination, destination]
intended	[intended, destiné, destinés, destinés]
destinated	[destinated, destiné]
for	[for, destinée, for, for, pour, pour, servant, servant]
destinies	[destinies, destinées]
fated	[fated, destinées]
destruction	[destruction, destruction, destructions, destructions, dégâts, dégâts]
destructions	[destructions, destructions]
debt	[debt, dette]
debts	[debts, dettes]
europe	[europe, deurope, europe, europe, leurope, leurope]
two	[two, deux, two, two]
second	[second, deuxième, second, second, seconde, seconde]
had to be	[had to be, devaient]
were	[were, devaient, faisaient, faisaient, furent, furent, nétaient, nétaient, trouvaient, trouvaient, étaient, étaient]
had to	[had to, devait, dut, dut, dû, dû, fallait, fallait]
in front of	[in front of, devant]
becoming	[becoming, devenant]
become	[become, devenir, devenu, devenu, devenue, devenue, devenues, devenues, devenus, devenus, deviennent, deviennent, devient, devient]
became	[became, devenu, devenues, devenues, devenus, devenus, deviennent, deviennent, devinrent, devinrent, devint, devint]
became or become (varies with the temps of sentence)	[became or become (varies with the temps of sentence), devenue]
will become	[will become, deviendra]
becomes	[becomes, devienne, devient, devient]
got	[got, devinrent]
motto	[motto, devise, slogan, slogan]
currency	[currency, devises, monnaie, monnaie, monnaies, monnaies]
currencies	[currencies, devises, monnaies, monnaies]
duty	[duty, devoir]
have to	[have to, devoir, doit, doit, dû, dû, faudra, faudra, faut, faut]
homeworks	[homeworks, devoirs]
homework	[homework, devoirs]
will have to	[will have to, devra, devront, devront]
ought to be	[ought to be, devraient]
should	[should, devraient, devrait, devrait, devront, devront, doivent, doivent]
dexemptaires	[dexemptaires, dexemplaires]
of copies	[of copies, dexemplaires]
of example	[of example, dexemple]
example	[example, dexemple, exemple, exemple, lexemple, lexemple]
to explain	[to explain, dexpliquer]
operating	[operating, dexploitation]
catalogues d'exposition = exhibition catalogs	[catalogues d'exposition = exhibition catalogs, dexposition]
exposition	[exposition, dexposition, exposition, exposition]
exposure	[exposure, dexposition, exposition, exposition]
dexpresiion	[dexpresiion, dexpression]
claimant	[claimant, dexpression]
dexter	[dexter, dexter]
extermination	[extermination, dextermination, lextermination, lextermination]
extreme	[extreme, dextrême, extreme, extreme, extrême, extrême, lextrême, lextrême]
people	[people, dhabitants, figures, figures, gens, gens, people, people, personne, personne, personnes, personnes, peuple, peuple, populations, populations]
two words -> of harmony	[two words -> of harmony, dharmonie]
of harmony	[of harmony, dharmonie]
dhenri	[dhenri, dhenri]
henri	[henri, dhenri, henri, henri]
of history	[of history, dhistoire]
history	[history, dhistoire, histoire, histoire, histoires, histoires, history, history, lhistoire, lhistoire]
hitchcock	[hitchcock, dhitchcock, hitchcock, hitchcock]
of hitler	[of hitler, dhitler]
hitler	[hitler, dhitler, hitler, hitler]
winter	[winter, dhiver, hiver, hiver, lhiver, lhiver]
man	[man, dhomme, homme, homme, man, man]
of men	[of men, dhommes]
of homer	[of homer, dhomère]
dhonneur	[dhonneur, dhonneur]
of honor	[of honor, dhonneur]
honor	[honor, dhonneur, honneur, honneur, lhonneur, lhonneur]
horror	[horror, dhorreur]
horreur = horror	[horreur = horror, dhorreur]
of hydrogen	[of hydrogen, dhydrogène]
heracles	[heracles, dhéraclès, hercule, hercule, héraclès, héraclès]
wretched	[wretched, diable]
devil	[devil, diable]
diagnosis	[diagnosis, diagnostic]
dialect	[dialect, dialecte]
dialects	[dialects, dialectes]
dialectic	[dialectic, dialectique]
dialogue	[dialogue, dialogue]
dialogues	[dialogues, dialogues]
diamond	[diamond, diamant]
diamonds	[diamonds, diamant]
diam's	[diam's, diams]
diams	[diams, diams]
diameter	[diameter, diamètre]
diana	[diana, diana, diane, diane]
diaspora	[diaspora, diaspora]
till	[till, dici, till, till]
from here	[from here, dici]
here	[here, dici, here, here, ici, ici, là, là, présent, présent, voici, voici]
dictator	[dictator, dictateur]
dictatorship	[dictatorship, dictature]
dictionary	[dictionary, dictionnaire]
to identify	[to identify, didentifier]
originates	[originates, didentifier]
diderot	[diderot, diderot]
didier	[didier, didier]
of ideas	[of ideas, didées]
die	[die, die, mourir, mourir]
diego	[diego, diego]
god	[god, dieu, dieux, dieux]
dieudonné	[dieudonné, dieudonné]
gods	[gods, dieux]
difficult	[difficult, difficile, difficiles, difficiles, difficulté, difficulté, sorciers, sorciers]
with difficulty	[with difficulty, difficilement]
hardly	[hardly, difficilement]
difficulty	[difficulty, difficulté, difficultés, difficultés]
trouble	[trouble, difficulté, trouble, trouble]
diffiulty	[diffiulty, difficulté]
dificulty	[dificulty, difficulté]
difficulties	[difficulties, difficultés]
airs	[airs, diffuse]
diffuses	[diffuses, diffuse]
play	[play, diffuser, interpréter, interpréter, joue, joue, jouent, jouent, jouer, jouer, pièce, pièce]
spread	[spread, diffuser, répandu, répandu, répandue, répandue, réparties, réparties]
to diffuse	[to diffuse, diffuser]
diffusion	[diffusion, diffusion]
dissemination	[dissemination, diffusion]
broadcasts	[broadcasts, diffusions]
broadcastings	[broadcastings, diffusions]
broadcast	[broadcast, diffusé, diffusée, diffusée, diffusés, diffusés, télévisée, télévisée]
aired	[aired, diffusé, diffusée, diffusée, diffusées, diffusées, diffusés, diffusés]
broadcasted	[broadcasted, diffusée, diffusées, diffusées, télévisé, télévisé]
diffuse	[diffuse, diffusés]
differs	[differs, diffère]
differ	[differ, diffère, diffèrent, diffèrent]
diferent	[diferent, diffèrent]
divergent	[divergent, diffèrent]
difference	[difference, différence]
differences	[differences, différences]
different	[different, différent, différente, différente, différentes, différentes, différents, différents]
digestive	[digestive, digestif]
digital	[digital, digital, numérique, numérique, numériques, numériques, électroniques, électroniques]
imagery	[imagery, dimagerie]
photo	[photo, dimages, photo, photo]
pictures	[pictures, dimages, images, images, photographies, photographies, photos, photos]
sunday	[sunday, dimanche, parts, parts, sunday, sunday]
dimension	[dimension, dimension]
dimensions	[dimensions, dimensions]
size	[size, dimensions, grandeur, grandeur, taille, taille, tailles, tailles]
shrinks	[shrinks, diminue]
decreases	[decreases, diminue]
diminution	[diminution, diminution]
decreased	[decreased, diminué]
diminished	[diminished, diminué]
registry	[registry, dimmatriculation, registre, registre]
of registration	[of registration, dimmatriculation]
immigration	[immigration, dimmigration, immigration, immigration]
impact	[impact, dimpact, impact, impact]
importance	[importance, dimportance, importance, importance]
important	[important, dimportance, dimportants, dimportants, important, important, importante, importante, importantes, importantes, importants, importants, importe, importe]
dimportance	[dimportance, dimportance]
major	[major, dimportantes, majeur, majeur, majeure, majeure, majeures, majeures, majeurs, majeurs, major, major]
several highly important	[several highly important, dimportantes]
some important	[some important, dimportants]
to impose	[to impose, dimposer, simposer, simposer]
impose	[impose, dimposer, impose, impose, imposer, imposer]
of independence	[of independence, dindépendance]
independance	[independance, dindépendance, indépendance, indépendance]
independence	[independence, dindépendance, indépendance, indépendance]
inflation	[inflation, dinflation, inflation, inflation, linflation, linflation]
influence	[influence, dinfluence, influence, influence, linfluence, linfluence, rayonnement, rayonnement]
information	[information, dinformation, indication, indication, information, information, linformation, linformation, renseignements, renseignements]
news report, or information	[news report, or information, dinformation]
informations	[informations, dinformations, indications, indications, informations, informations]
of informations	[of informations, dinformations]
dinosaurs	[dinosaurs, dinosaures]
dinosaur	[dinosaur, dinosaures]
dinspiration	[dinspiration, dinspiration]
inspiration	[inspiration, dinspiration, inspiration, inspiration]
intensity	[intensity, dintensité, intensité, intensité, lintensité, lintensité]
of intensity	[of intensity, dintensité]
of internet	[of internet, dinternet]
internet	[internet, dinternet, internet, internet, linternet, linternet, net, net]
interpretation	[interpretation, dinterprétation, interprétation, interprétation, interprétations, interprétations, linterprétation, linterprétation]
rendition (for naugrette) interpretation (for the language and the ecoles)	[rendition (for naugrette) interpretation (for the language and the ecoles), dinterprétation]
dintegrer	[dintegrer, dintégrer]
appropriated	[appropriated, dintégrer]
of interest	[of interest, dintérêt]
